STORE_ID,LONGITUDE,LATITUDE,WEEK,MONTH,YEAR,GPS ENPLANEMENTS,TRUE MONTHLY ENPLANED,WEEKLY ENPLANEMENTS,WEEKLY ADJUSTMENT
ABE,-75.4437670373971,40.6486994311718,1,1,2019,15522.24,58034000,11231295,21.09
ABI,-99.6826462712207,32.4153304301175,1,1,2019,2868.24,58034000,11231295,21.09
ABQ,-106.607943141783,35.0359602728578,1,1,2019,59347.26,58034000,11231295,21.09
ABR,-98.4203940954279,45.4460512295479,1,1,2019,906.87,58034000,11231295,21.09
ABY,-84.1943684474135,31.5336686251198,1,1,2019,738.15,58034000,11231295,21.09
ACK,-70.0615476616803,41.2534773223773,1,1,2019,611.61,58034000,11231295,21.09
ACT,-97.2257163075525,31.6134568275452,1,1,2019,3184.59,58034000,11231295,21.09
ACV,-124.1081766634,40.977317242746,1,1,2019,991.23,58034000,11231295,21.09
ACY,-74.5756567616977,39.4562099262162,1,1,2019,13160.16,58034000,11231295,21.09
ADQ,-152.498690099267,57.7506036116429,1,1,2019,316.35,58034000,11231295,21.09
AEX,-92.5456795405575,31.3249291789669,1,1,2019,2572.98,58034000,11231295,21.09
AGS,-81.9653529405301,33.3700417819205,1,1,2019,5820.84,58034000,11231295,21.09
AKN,-156.65261647685,58.6791505022687,1,1,2019,42.18,58034000,11231295,21.09
ALB,-73.8007639036996,42.7481457425904,1,1,2019,30243.06,58034000,11231295,21.09
ALO,-92.3986849400514,42.5558660294579,1,1,2019,780.33,58034000,11231295,21.09
ALW,-118.284521081846,46.0922771800296,1,1,2019,1181.04,58034000,11231295,21.09
AMA,-101.70365086111,35.2154814425312,1,1,2019,8625.81,58034000,11231295,21.09
ANC,-149.987609254861,61.1756046557816,1,1,2019,42306.54,58034000,11231295,21.09
ANI,-159.545620211593,61.5805557279384,1,1,2019,105.45,58034000,11231295,21.09
APN,-83.5617739277975,45.0785671466495,1,1,2019,738.15,58034000,11231295,21.09
ART,-76.0210430905567,43.9908943553658,1,1,2019,717.06,58034000,11231295,21.09
ASE,-106.866645234955,39.2213930777225,1,1,2019,9638.13,58034000,11231295,21.09
ATL,-84.4301291225203,33.6360247529914,1,1,2019,598070.22,58034000,11231295,21.09
ATW,-88.5174029920665,44.2574730996761,1,1,2019,8984.34,58034000,11231295,21.09
ATY,-97.1525718027001,44.9167745322224,1,1,2019,1307.58,58034000,11231295,21.09
AUS,-97.6692958844466,30.1973791332881,1,1,2019,114539.79,58034000,11231295,21.09
AVL,-82.5404460763069,35.4358890942736,1,1,2019,15290.25,58034000,11231295,21.09
AVP,-75.7247500085692,41.3380036860409,1,1,2019,4344.54,58034000,11231295,21.09
AZO,-85.5510154007889,42.2329928542877,1,1,2019,5082.69,58034000,11231295,21.09
BDL,-72.6838717537277,41.9360055012823,1,1,2019,52303.2,58034000,11231295,21.09
