Field_1,WEEK,WEEK_STARTING,WEEKLY ENPLANEMENTS,ORDER,WEEKLY_ENPLANEMENTS2
0,1,"Jan 01, 2019",11231295,1,11231295
1,2,"Jan 08, 2019",11388166,1,
2,3,"Jan 15, 2019",11761584,1,
3,4,"Jan 22, 2019",12054677,1,
4,5,"Jan 29, 2019",11598279,1,
5,6,"Feb 05, 2019",13428399,1,
6,7,"Feb 12, 2019",13690390,1,
7,8,"Feb 19, 2019",14236064,1,
8,9,"Feb 26, 2019",14324147,1,
9,10,"Mar 05, 2019",17473008,1,
10,11,"Mar 12, 2019",17955725,1,
11,12,"Mar 19, 2019",17538236,1,
12,13,"Mar 26, 2019",17267031,1,
13,14,"Apr 02, 2019",13137411,1,
14,15,"Apr 09, 2019",13554127,1,
15,16,"Apr 16, 2019",13032601,1,
16,17,"Apr 23, 2019",13436586,1,
17,18,"Apr 30, 2019",13777275,1,
18,19,"May 07, 2019",17662448,1,
19,20,"May 14, 2019",18094474,1,
20,21,"May 21, 2019",17414930,1,
21,22,"May 28, 2019",18194149,1,
22,23,"Jun 04, 2019",18104387,1,
23,24,"Jun 11, 2019",18321170,1,
24,25,"Jun 18, 2019",18624071,1,
25,26,"Jun 25, 2019",17741372,1,
26,27,"Jul 02, 2019",13836482,1,
27,28,"Jul 09, 2019",15338763,1,
28,29,"Jul 16, 2019",15570231,1,
29,30,"Jul 23, 2019",15205399,1,
30,31,"Jul 30, 2019",15333126,1,
31,32,"Aug 06, 2019",18483701,1,
32,33,"Aug 13, 2019",18393692,1,
33,34,"Aug 20, 2019",18386497,1,
34,35,"Aug 27, 2019",17454110,1,
35,36,"Sep 03, 2019",15776335,1,
36,37,"Sep 10, 2019",16512127,1,
37,38,"Sep 17, 2019",16559505,1,
38,39,"Sep 24, 2019",15133034,1,
39,40,"Oct 01, 2019",15962941,1,
40,41,"Oct 08, 2019",14112240,1,
41,42,"Oct 15, 2019",14049447,1,
42,43,"Oct 22, 2019",13308128,1,
43,44,"Oct 29, 2019",12489245,1,
44,45,"Nov 05, 2019",16975283,1,
45,46,"Nov 12, 2019",16579586,1,
46,47,"Nov 19, 2019",15990755,1,
47,48,"Nov 26, 2019",15271377,1,
48,49,"Dec 03, 2019",15406031,1,
49,50,"Dec 10, 2019",15219673,1,
50,51,"Dec 17, 2019",15436205,1,
51,52,"Dec 24, 2019",11947567,1,
52,53,"Dec 31, 2019",11709524,1,
53,54,"Jan 07, 2020",15678848,1,
54,55,"Jan 14, 2020",15717139,1,
55,56,"Jan 21, 2020",15510993,1,
56,57,"Jan 28, 2020",14704020,1,
57,58,"Feb 04, 2020",15622940,1,
58,59,"Feb 11, 2020",15633051,1,
59,60,"Feb 18, 2020",15607773,1,
60,61,"Feb 25, 2020",12986236,1,
61,62,"Mar 03, 2020",11743057,1,
62,63,"Mar 10, 2020",10010525,1,
63,64,"Mar 17, 2020",5801695,1,
64,65,"Mar 24, 2020",3741609,1,
65,66,"Mar 31, 2020",3114114,1,
66,67,"Apr 07, 2020",670239,1,
67,68,"Apr 14, 2020",683551,1,
68,69,"Apr 21, 2020",731575,1,
69,70,"Apr 28, 2020",791635,1,
70,71,"May 05, 2020",1766309,1,
71,72,"May 12, 2020",1899899,1,
72,73,"May 19, 2020",1977067,1,
73,74,"May 26, 2020",2217724,1,
74,75,"Jun 02, 2020",3154688,1,
75,76,"Jun 09, 2020",3218990,1,
76,77,"Jun 16, 2020",3223705,1,
77,78,"Jun 23, 2020",3286039,1,
78,79,"Jun 30, 2020",3248578,1,
79,80,"Jul 07, 2020",5918477,1,
80,81,"Jul 14, 2020",5783906,1,
81,82,"Jul 21, 2020",5601257,1,
82,83,"Jul 28, 2020",5575360,1,
83,84,"Aug 04, 2020",5915960,1,
84,85,"Aug 11, 2020",6000023,1,
85,86,"Aug 18, 2020",5959957,1,
86,87,"Aug 25, 2020",6034060,1,
87,88,"Sep 01, 2020",4931128,1,
88,89,"Sep 08, 2020",4941808,1,
89,90,"Sep 15, 2020",4742261,1,
90,91,"Sep 22, 2020",4672608,1,
91,92,"Sep 29, 2020",4566195,1,
92,93,"Oct 06, 2020",6997989,1,
93,94,"Oct 13, 2020",7145767,1,
94,95,"Oct 20, 2020",7099136,1,
95,96,"Oct 27, 2020",6784109,1,
96,97,"Nov 03, 2020",6888241,1,
97,98,"Nov 10, 2020",6886665,1,
98,99,"Nov 17, 2020",6502345,1,
99,100,"Nov 24, 2020",6016749,1,
100,101,"Dec 01, 2020",5872898,1,
101,102,"Dec 08, 2020",5627109,1,
102,103,"Dec 15, 2020",5722088,1,
103,104,"Dec 22, 2020",4980400,1,
0,1,"Jan 01, 2019",11231295,2,11231295
1,2,"Jan 08, 2019",11388166,2,11388166
2,3,"Jan 15, 2019",11761584,2,
3,4,"Jan 22, 2019",12054677,2,
4,5,"Jan 29, 2019",11598279,2,
5,6,"Feb 05, 2019",13428399,2,
6,7,"Feb 12, 2019",13690390,2,
7,8,"Feb 19, 2019",14236064,2,
8,9,"Feb 26, 2019",14324147,2,
9,10,"Mar 05, 2019",17473008,2,
10,11,"Mar 12, 2019",17955725,2,
11,12,"Mar 19, 2019",17538236,2,
12,13,"Mar 26, 2019",17267031,2,
13,14,"Apr 02, 2019",13137411,2,
14,15,"Apr 09, 2019",13554127,2,
15,16,"Apr 16, 2019",13032601,2,
16,17,"Apr 23, 2019",13436586,2,
17,18,"Apr 30, 2019",13777275,2,
18,19,"May 07, 2019",17662448,2,
19,20,"May 14, 2019",18094474,2,
20,21,"May 21, 2019",17414930,2,
21,22,"May 28, 2019",18194149,2,
22,23,"Jun 04, 2019",18104387,2,
23,24,"Jun 11, 2019",18321170,2,
24,25,"Jun 18, 2019",18624071,2,
25,26,"Jun 25, 2019",17741372,2,
26,27,"Jul 02, 2019",13836482,2,
27,28,"Jul 09, 2019",15338763,2,
28,29,"Jul 16, 2019",15570231,2,
29,30,"Jul 23, 2019",15205399,2,
30,31,"Jul 30, 2019",15333126,2,
31,32,"Aug 06, 2019",18483701,2,
32,33,"Aug 13, 2019",18393692,2,
33,34,"Aug 20, 2019",18386497,2,
34,35,"Aug 27, 2019",17454110,2,
35,36,"Sep 03, 2019",15776335,2,
36,37,"Sep 10, 2019",16512127,2,
37,38,"Sep 17, 2019",16559505,2,
